dataset,record_id,stage,family,answer,reference,correct,known_conflict_fields,known_conflicts,unknown_fields,unsupported_fields
rectom,belief_272,initial,belief,C,C,True,,0,,0
rectom,belief_272,reviewed,belief,C,C,True,,0,,0
rectom,belief_273,initial,belief,G,G,True,,0,seen,1
rectom,belief_273,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_280,initial,belief,B,D,False,,0,,0
rectom,belief_280,reviewed,belief,B,D,False,,0,,0
rectom,belief_281,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_281,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_282,initial,belief,A,A,True,,0,seen,1
rectom,belief_282,reviewed,belief,A,A,True,,0,seen,1
rectom,belief_283,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_283,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_321,initial,belief,C,C,True,,0,seen,1
rectom,belief_321,reviewed,belief,C,C,True,,0,seen,1
rectom,belief_322,initial,belief,B,B,True,,0,seen,1
rectom,belief_322,reviewed,belief,B,B,True,,0,seen,1
rectom,belief_323,initial,belief,C,C,True,,0,seen|recommendation_response,2
rectom,belief_323,reviewed,belief,C,C,True,,0,seen|recommendation_response,2
rectom,belief_324,initial,belief,B,D,False,,0,seen,1
rectom,belief_324,reviewed,belief,B,D,False,,0,,0
rectom,belief_325,initial,belief,G,G,True,,0,,0
rectom,belief_325,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_326,initial,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_326,reviewed,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_350,initial,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_350,reviewed,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_351,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_351,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_352,initial,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_352,reviewed,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_353,initial,belief,C,C,True,,0,,0
rectom,belief_353,reviewed,belief,C,C,True,,0,,0
rectom,belief_354,initial,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_354,reviewed,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_355,initial,belief,G,G,True,,0,seen,1
rectom,belief_355,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_356,initial,belief,G,G,True,,0,seen,1
rectom,belief_356,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_357,initial,belief,C,C,True,,0,recommendation_response,1
rectom,belief_357,reviewed,belief,C,C,True,,0,recommendation_response,1
rectom,belief_358,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_358,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_359,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_359,reviewed,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_360,initial,belief,A,C,False,,0,seen,1
rectom,belief_360,reviewed,belief,A,C,False,,0,seen,1
rectom,belief_373,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_373,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_374,initial,belief,B,B,True,,0,,0
rectom,belief_374,reviewed,belief,B,B,True,,0,,0
rectom,belief_375,initial,belief,C,C,True,,0,,0
rectom,belief_375,reviewed,belief,C,C,True,,0,seen,1
rectom,belief_376,initial,belief,B,B,True,,0,,0
rectom,belief_376,reviewed,belief,B,B,True,,0,,0
rectom,belief_377,initial,belief,B,B,True,,0,seen,1
rectom,belief_377,reviewed,belief,B,B,True,,0,seen,1
rectom,belief_378,initial,belief,G,G,True,,0,,0
rectom,belief_378,reviewed,belief,G,G,True,,0,,0
rectom,belief_379,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_379,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_380,initial,belief,C,A,False,,0,seen,1
rectom,belief_380,reviewed,belief,C,A,False,,0,seen,1
rectom,belief_381,initial,belief,G,G,True,,0,,0
rectom,belief_381,reviewed,belief,G,G,True,,0,,0
rectom,belief_382,initial,belief,B,B,True,,0,seen,1
rectom,belief_382,reviewed,belief,B,B,True,,0,seen,1
rectom,belief_391,initial,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_391,reviewed,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_392,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_392,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_393,initial,belief,B,B,True,,0,,0
rectom,belief_393,reviewed,belief,B,B,True,,0,,0
rectom,belief_394,initial,belief,B,B,True,,0,,0
rectom,belief_394,reviewed,belief,B,B,True,,0,,0
rectom,belief_395,initial,belief,C,C,True,,0,,0
rectom,belief_395,reviewed,belief,C,C,True,,0,,0
rectom,belief_396,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_396,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_397,initial,belief,C,D,False,,0,seen|recommendation_response,2
rectom,belief_397,reviewed,belief,C,D,False,,0,seen|recommendation_response,2
rectom,belief_398,initial,belief,G,G,True,,0,seen,1
rectom,belief_398,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_399,initial,belief,C,D,False,,0,seen,1
rectom,belief_399,reviewed,belief,C,D,False,,0,seen,1
rectom,belief_400,initial,belief,C,D,False,,0,,0
rectom,belief_400,reviewed,belief,C,D,False,,0,seen,1
rectom,belief_401,initial,belief,G,G,True,,0,seen,1
rectom,belief_401,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_402,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_402,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_403,initial,belief,A,C,False,,0,seen|recommendation_response,2
rectom,belief_403,reviewed,belief,A,C,False,,0,seen|recommendation_response,2
rectom,belief_423,initial,belief,G,G,True,,0,seen,1
rectom,belief_423,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_424,initial,belief,B,B,True,,0,seen,1
rectom,belief_424,reviewed,belief,B,B,True,,0,seen,1
rectom,belief_425,initial,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_425,reviewed,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_426,initial,belief,A,A,True,,0,,0
rectom,belief_426,reviewed,belief,A,A,True,,0,,0
rectom,belief_427,initial,belief,C,C,True,,0,seen|recommendation_response,2
rectom,belief_427,reviewed,belief,C,C,True,,0,seen|recommendation_response,2
rectom,belief_428,initial,belief,C,C,True,,0,,0
rectom,belief_428,reviewed,belief,C,C,True,,0,,0
rectom,belief_437,initial,belief,C,C,True,,0,,0
rectom,belief_437,reviewed,belief,C,C,True,,0,,0
rectom,belief_438,initial,belief,A,B,False,,0,,0
rectom,belief_438,reviewed,belief,A,B,False,,0,,0
rectom,belief_439,initial,belief,B,B,True,,0,recommendation_response,1
rectom,belief_439,reviewed,belief,B,B,True,,0,recommendation_response,1
rectom,belief_468,initial,belief,G,G,True,,0,seen,1
rectom,belief_468,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_469,initial,belief,B,B,True,,0,,0
rectom,belief_469,reviewed,belief,B,B,True,,0,,0
rectom,belief_470,initial,belief,C,C,True,,0,,0
rectom,belief_470,reviewed,belief,C,C,True,,0,,0
rectom,belief_471,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_471,reviewed,belief,D,D,True,,0,,0
rectom,belief_472,initial,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_472,reviewed,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_489,initial,belief,A,A,True,,0,,0
rectom,belief_489,reviewed,belief,A,A,True,,0,,0
rectom,belief_490,initial,belief,B,B,True,,0,,0
rectom,belief_490,reviewed,belief,B,B,True,,0,,0
rectom,belief_491,initial,belief,G,G,True,,0,seen,1
rectom,belief_491,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_492,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_492,reviewed,belief,D,D,True,,0,seen,1
rectom,belief_493,initial,belief,G,G,True,,0,seen,1
rectom,belief_493,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_494,initial,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_494,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_515,initial,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_515,reviewed,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_516,initial,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_516,reviewed,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_517,initial,belief,D,B,False,,0,recommendation_response,1
rectom,belief_517,reviewed,belief,D,B,False,,0,seen|recommendation_response,2
rectom,belief_591,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_591,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_592,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_592,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_593,initial,belief,B,B,True,,0,seen,1
rectom,belief_593,reviewed,belief,B,B,True,,0,seen,1
rectom,belief_594,initial,belief,A,A,True,,0,seen,1
rectom,belief_594,reviewed,belief,A,A,True,,0,seen,1
rectom,belief_595,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_595,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_645,initial,belief,B,B,True,,0,seen,1
rectom,belief_645,reviewed,belief,B,B,True,,0,seen,1
rectom,belief_646,initial,belief,G,G,True,,0,,0
rectom,belief_646,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_647,initial,belief,C,C,True,,0,recommendation_response,1
rectom,belief_647,reviewed,belief,C,C,True,,0,recommendation_response,1
rectom,belief_648,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_648,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_649,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_649,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_650,initial,belief,A,A,True,,0,,0
rectom,belief_650,reviewed,belief,A,A,True,,0,,0
rectom,belief_651,initial,belief,B,B,True,,0,,0
rectom,belief_651,reviewed,belief,B,B,True,,0,,0
rectom,belief_652,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_652,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_653,initial,belief,C,C,True,,0,,0
rectom,belief_653,reviewed,belief,C,C,True,,0,,0
rectom,belief_654,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_654,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_724,initial,belief,B,B,True,,0,seen,1
rectom,belief_724,reviewed,belief,B,B,True,,0,seen,1
rectom,belief_725,initial,belief,B,B,True,,0,recommendation_response,1
rectom,belief_725,reviewed,belief,B,B,True,,0,recommendation_response,1
rectom,belief_726,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_726,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_727,initial,belief,C,A,False,,0,seen,1
rectom,belief_727,reviewed,belief,C,A,False,,0,seen,1
rectom,belief_728,initial,belief,G,G,True,,0,seen,1
rectom,belief_728,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_776,initial,belief,B,B,True,,0,seen,1
rectom,belief_776,reviewed,belief,B,B,True,,0,seen,1
rectom,belief_777,initial,belief,G,G,True,,0,seen,1
rectom,belief_777,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_778,initial,belief,G,G,True,,0,seen,1
rectom,belief_778,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_779,initial,belief,A,A,True,,0,seen,1
rectom,belief_779,reviewed,belief,A,A,True,,0,seen,1
rectom,belief_833,initial,belief,A,A,True,,0,seen|recommendation_response,2
rectom,belief_833,reviewed,belief,A,A,True,,0,seen|recommendation_response,2
rectom,belief_834,initial,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_834,reviewed,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_835,initial,belief,B,B,True,,0,seen,1
rectom,belief_835,reviewed,belief,B,B,True,,0,seen,1
rectom,belief_836,initial,belief,B,B,True,,0,,0
rectom,belief_836,reviewed,belief,B,B,True,,0,,0
rectom,belief_853,initial,belief,B,B,True,,0,,0
rectom,belief_853,reviewed,belief,B,B,True,,0,,0
rectom,belief_854,initial,belief,G,G,True,,0,,0
rectom,belief_854,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_855,initial,belief,D,B,False,,0,seen|recommendation_response,2
rectom,belief_855,reviewed,belief,D,B,False,,0,seen|recommendation_response,2
rectom,belief_856,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_856,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_857,initial,belief,G,G,True,,0,,0
rectom,belief_857,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_858,initial,belief,A,A,True,,0,,0
rectom,belief_858,reviewed,belief,A,A,True,,0,,0
rectom,belief_877,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_877,reviewed,belief,D,D,True,,0,,0
rectom,belief_878,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_878,reviewed,belief,D,D,True,seen,1,recommendation_response,1
rectom,belief_879,initial,belief,B,D,False,,0,seen,1
rectom,belief_879,reviewed,belief,B,D,False,,0,seen,1
rectom,belief_880,initial,belief,G,G,True,,0,seen,1
rectom,belief_880,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_881,initial,belief,G,G,True,,0,seen,1
rectom,belief_881,reviewed,belief,G,G,True,,0,seen|appraisal,2
rectom,belief_882,initial,belief,A,A,True,,0,,0
rectom,belief_882,reviewed,belief,A,A,True,,0,,0
rectom,belief_883,initial,belief,E,G,False,,0,seen,1
rectom,belief_883,reviewed,belief,E,G,False,,0,seen,1
rectom,belief_894,initial,belief,B,B,True,,0,seen,1
rectom,belief_894,reviewed,belief,B,B,True,,0,seen,1
rectom,belief_895,initial,belief,B,B,True,,0,seen,1
rectom,belief_895,reviewed,belief,B,B,True,,0,seen,1
rectom,belief_896,initial,belief,B,B,True,,0,seen,1
rectom,belief_896,reviewed,belief,B,B,True,,0,seen,1
rectom,belief_897,initial,belief,B,B,True,,0,seen|recommendation_response,2
rectom,belief_897,reviewed,belief,B,B,True,,0,seen|recommendation_response,2
rectom,belief_898,initial,belief,A,A,True,,0,seen,1
rectom,belief_898,reviewed,belief,A,A,True,,0,seen,1
rectom,belief_923,initial,belief,G,G,True,,0,seen,1
rectom,belief_923,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_924,initial,belief,B,B,True,,0,recommendation_response,1
rectom,belief_924,reviewed,belief,B,B,True,,0,recommendation_response,1
rectom,belief_925,initial,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_925,reviewed,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_926,initial,belief,G,G,True,,0,seen,1
rectom,belief_926,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_927,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_927,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_928,initial,belief,G,G,True,,0,seen,1
rectom,belief_928,reviewed,belief,G,G,True,,0,seen|appraisal,2
rectom,belief_929,initial,belief,C,C,True,,0,,0
rectom,belief_929,reviewed,belief,C,C,True,,0,,0
rectom,belief_933,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_933,reviewed,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_934,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_934,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_935,initial,belief,C,C,True,,0,recommendation_response,1
rectom,belief_935,reviewed,belief,C,C,True,,0,recommendation_response,1
rectom,belief_936,initial,belief,B,B,True,,0,,0
rectom,belief_936,reviewed,belief,B,B,True,,0,,0
rectom,belief_973,initial,belief,A,A,True,,0,,0
rectom,belief_973,reviewed,belief,A,A,True,,0,,0
rectom,belief_974,initial,belief,B,B,True,,0,recommendation_response,1
rectom,belief_974,reviewed,belief,B,B,True,,0,recommendation_response,1
rectom,belief_975,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_975,reviewed,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_976,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_976,reviewed,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_977,initial,belief,B,B,True,,0,seen,1
rectom,belief_977,reviewed,belief,B,B,True,,0,seen,1
rectom,belief_978,initial,belief,A,A,True,,0,,0
rectom,belief_978,reviewed,belief,A,A,True,,0,,0
rectom,belief_979,initial,belief,B,B,True,,0,recommendation_response,1
rectom,belief_979,reviewed,belief,B,B,True,,0,recommendation_response,1
rectom,belief_980,initial,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_980,reviewed,belief,D,D,True,,0,seen|recommendation_response,2
rectom,belief_981,initial,belief,G,G,True,,0,seen,1
rectom,belief_981,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_982,initial,belief,C,C,True,,0,,0
rectom,belief_982,reviewed,belief,C,C,True,,0,,0
rectom,belief_987,initial,belief,A,A,True,,0,,0
rectom,belief_987,reviewed,belief,A,A,True,,0,,0
rectom,belief_988,initial,belief,A,A,True,,0,,0
rectom,belief_988,reviewed,belief,A,A,True,,0,,0
rectom,belief_989,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_989,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_990,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_990,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_991,initial,belief,G,G,True,,0,,0
rectom,belief_991,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_992,initial,belief,G,G,True,,0,,0
rectom,belief_992,reviewed,belief,G,G,True,,0,seen,1
rectom,belief_1020,initial,belief,B,B,True,,0,seen,1
rectom,belief_1020,reviewed,belief,B,B,True,,0,seen,1
rectom,belief_1021,initial,belief,A,A,True,,0,seen,1
rectom,belief_1021,reviewed,belief,A,A,True,,0,seen,1
rectom,belief_1022,initial,belief,B,B,True,,0,seen,1
rectom,belief_1022,reviewed,belief,B,B,True,,0,seen,1
rectom,belief_1023,initial,belief,B,B,True,,0,seen,1
rectom,belief_1023,reviewed,belief,B,B,True,,0,seen,1
rectom,belief_1033,initial,belief,B,B,True,,0,recommendation_response,1
rectom,belief_1033,reviewed,belief,B,B,True,,0,recommendation_response,1
rectom,belief_1034,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_1034,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_1035,initial,belief,A,A,True,,0,seen,1
rectom,belief_1035,reviewed,belief,A,A,True,,0,seen,1
rectom,belief_1036,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_1036,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_1064,initial,belief,D,B,False,,0,seen,1
rectom,belief_1064,reviewed,belief,D,B,False,,0,seen,1
rectom,belief_1065,initial,belief,C,C,True,,0,,0
rectom,belief_1065,reviewed,belief,C,C,True,,0,,0
rectom,belief_1066,initial,belief,B,B,True,,0,,0
rectom,belief_1066,reviewed,belief,B,B,True,,0,,0
rectom,belief_1067,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_1067,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_1076,initial,belief,B,B,True,,0,seen|recommendation_response,2
rectom,belief_1076,reviewed,belief,B,B,True,,0,seen|recommendation_response,2
rectom,belief_1077,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_1077,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_1078,initial,belief,B,B,True,,0,seen,1
rectom,belief_1078,reviewed,belief,B,B,True,,0,seen,1
rectom,belief_1079,initial,belief,G,F,False,,0,seen,1
rectom,belief_1079,reviewed,belief,G,F,False,,0,seen,1
rectom,belief_1080,initial,belief,A,A,True,,0,seen,1
rectom,belief_1080,reviewed,belief,A,A,True,,0,seen,1
rectom,belief_1081,initial,belief,D,A,False,,0,seen|recommendation_response,2
rectom,belief_1081,reviewed,belief,D,A,False,,0,seen|recommendation_response,2
rectom,belief_1082,initial,belief,B,B,True,,0,recommendation_response,1
rectom,belief_1082,reviewed,belief,B,B,True,,0,recommendation_response,1
rectom,belief_1083,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_1083,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_1084,initial,belief,D,D,True,,0,recommendation_response,1
rectom,belief_1084,reviewed,belief,D,D,True,,0,recommendation_response,1
rectom,belief_1085,initial,belief,G,G,True,,0,,0
rectom,belief_1085,reviewed,belief,G,G,True,,0,,0
rectom,belief_1091,initial,belief,B,B,True,,0,,0
rectom,belief_1091,reviewed,belief,B,B,True,,0,,0
rectom,belief_1092,initial,belief,B,B,True,,0,seen,1
rectom,belief_1092,reviewed,belief,B,B,True,,0,seen,1
rectom,belief_1093,initial,belief,B,B,True,,0,,0
